dateid01	hstarts	ur
2004-10-01	2072	5.5000000
2004-11-01	1782	5.4000001
2004-12-01	2042	5.4000001
2005-01-01	2144	5.3000002
2005-02-01	2207	5.4000001
2005-03-01	1864	5.1999998
2005-04-01	2061	5.1999998
2005-05-01	2025	5.0999999
2005-06-01	2068	5.0000000
2005-07-01	2054	5.0000000
2005-08-01	2095	4.9000001
2005-09-01	2151	5.0000000
2005-10-01	2065	5.0000000
2005-11-01	2147	5.0000000
2005-12-01	1994	4.9000001
2006-01-01	2273	4.6999998
2006-02-01	2119	4.8000002
2006-03-01	1969	4.6999998
2006-04-01	1821	4.6999998
2006-05-01	1942	4.5999999
2006-06-01	1802	4.5999999
2006-07-01	1737	4.6999998
2006-08-01	1650	4.6999998
2006-09-01	1720	4.5000000
2006-10-01	1491	4.4000001
2006-11-01	1570	4.5000000
2006-12-01	1649	4.4000001
2007-01-01	1409	4.5999999
2007-02-01	1480	4.5000000
2007-03-01	1495	4.4000001
2007-04-01	1490	4.5000000
2007-05-01	1415	4.4000001
2007-06-01	1448	4.5999999
2007-07-01	1354	4.6999998
2007-08-01	1330	4.5999999
2007-09-01	1183	4.6999998
2007-10-01	1264	4.6999998
2007-11-01	1197	4.6999998
2007-12-01	1037	5.0000000
2008-01-01	1084	5.0000000
2008-02-01	1103	4.8000002
2008-03-01	1005	5.0999999
2008-04-01	1013	4.9000001
2008-05-01	973	5.4000001
2008-06-01	1046	5.5999999
2008-07-01	923	5.8000002
2008-08-01	844	6.0999999
2008-09-01	820	6.1999998
2008-10-01	777	6.5999999
2008-11-01	652	6.8000002
2008-12-01	560	7.3000002
2009-01-01	490	7.8000002
2009-02-01	582	8.1999998
2009-03-01	505	8.6000004
2009-04-01	478	8.8999996
2009-05-01	540	9.3999996
2009-06-01	585	9.5000000
2009-07-01	594	9.5000000
2009-08-01	586	9.6999998
2009-09-01	585	9.8000002
2009-10-01	534	10.1000000
2009-11-01	588	9.8999996
2009-12-01	581	9.8999996
2010-01-01	615	9.6999998
2010-02-01	603	9.6999998
2010-03-01	626	9.6999998
2010-04-01	687	9.8000002
2010-05-01	580	9.6000004
2010-06-01	539	9.5000000
